날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02 16,서울 강남구 ,강남구,111261,0.007,0.4,0.073,0.029,61,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02 17,서울 강남구 ,강남구,111261,0.006,0.4,0.066,0.029,46,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02 18,서울 강남구 ,강남구,111261,0.006,0.3,0.057,0.03,47,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02 19,서울 강남구 ,강남구,111261,0.007,0.4,0.058,0.035,46,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02 20,서울 강남구 ,강남구,111261,0.005,0.4,0.061,0.047,70,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02 21,서울 강남구 ,강남구,111261,0.006,0.4,0.043,0.049,68,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02 22,서울 강남구 ,강남구,111261,0.007,0.5,0.026,0.055,70,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02 23,서울 강남구 ,강남구,111261,0.006,0.5,0.019,0.056,64,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02 24,서울 강남구 ,강남구,111261,0.005,0.4,0.016,0.056,56,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03 01,서울 강남구 ,강남구,111261,0.005,0.4,0.016,0.053,48,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03 02,서울 강남구 ,강남구,111261,0.005,0.4,0.014,0.052,49,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03 03,서울 강남구 ,강남구,111261,0.005,0.4,0.02,0.04,43,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03 04,서울 강남구 ,강남구,111261,0.005,0.4,0.018,0.036,53,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03 05,서울 강남구 ,강남구,111261,0.005,0.3,0.031,0.022,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03 06,서울 강남구 ,강남구,111261,0.006,0.3,0.034,0.018,41,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03 07,서울 강남구 ,강남구,111261,0.006,0.3,0.028,0.023,42,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03 08,서울 강남구 ,강남구,111261,0.006,0.3,0.025,0.03,36,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03 09,서울 강남구 ,강남구,111261,0.009,0.4,0.027,0.04,39,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03 10,서울 강남구 ,강남구,111261,0.008,0.4,0.051,0.031,26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03 11,서울 강남구 ,강남구,111261,0.005,0.4,0.053,0.033,40,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03 12,서울 강남구 ,강남구,111261,0.006,0.4,0.063,0.032,51,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03 13,서울 강남구 ,강남구,111261,0.006,0.3,0.072,0.03,50,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03 14,서울 강남구 ,강남구,111261,0.005,0.3,0.078,0.026,45,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03 15,서울 강남구 ,강남구,111261,0.005,0.3,0.07,0.027,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03 16,서울 강남구 ,강남구,111261,0.004,0.3,0.063,0.034,47,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03 17,서울 강남구 ,강남구,111261,0.005,0.3,0.066,0.027,43,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03 18,서울 강남구 ,강남구,111261,0.005,0.3,0.059,0.033,46,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03 19,서울 강남구 ,강남구,111261,0.006,0.4,0.053,0.037,59,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03 20,서울 강남구 ,강남구,111261,0.005,0.4,0.05,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03 21,서울 강남구 ,강남구,111261,0.005,0.4,0.042,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03 22,서울 강남구 ,강남구,111261,0.005,0.4,0.03,0.049,59,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03 23,서울 강남구 ,강남구,111261,0.005,0.4,0.039,0.035,56,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03 24,서울 강남구 ,강남구,111261,0.005,0.4,0.042,0.033,44,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-04 01,서울 강남구 ,강남구,111261,0.005,0.5,0.016,0.06,48,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-04 02,서울 강남구 ,강남구,111261,0.004,0.5,0.032,0.038,60,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-04 03,서울 강남구 ,강남구,111261,0.005,0.4,0.036,0.03,53,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-04 04,서울 강남구 ,강남구,111261,0.005,0.4,0.016,0.042,58,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-04 05,서울 강남구 ,강남구,111261,0.005,0.4,0.012,0.045,52,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-04 06,서울 강남구 ,강남구,111261,0.005,0.4,0.011,0.047,55,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-04 07,서울 강남구 ,강남구,111261,0.005,0.4,0.012,0.047,52,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-04 08,서울 강남구 ,강남구,111261,0.005,0.5,0.005,0.054,51,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-04 09,서울 강남구 ,강남구,111261,0.005,0.5,0.009,0.053,61,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-04 10,서울 강남구 ,강남구,111261,0.006,0.5,0.017,0.05,62,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-04 11,서울 강남구 ,강남구,111261,0.005,0.4,0.027,0.042,53,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-04 12,서울 강남구 ,강남구,111261,0.005,0.4,0.039,0.035,48,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-04 13,서울 강남구 ,강남구,111261,0.005,0.4,0.04,0.038,52,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-04 14,서울 강남구 ,강남구,111261,0.005,0.4,0.033,0.046,54,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-04 15,서울 강남구 ,강남구,111261,0.005,0.4,0.055,0.026,54,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-04 16,서울 강남구 ,강남구,111261,0.005,0.3,0.062,0.026,55,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-04 17,서울 강남구 ,강남구,111261,0.005,0.4,0.061,0.03,59,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-04 18,서울 강남구 ,강남구,111261,0.006,0.4,0.05,0.033,76,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-04 19,서울 강남구 ,강남구,111261,0.006,0.4,0.045,0.03,73,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-04 20,서울 강남구 ,강남구,111261,0.006,0.4,0.037,0.038,62,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-04 21,서울 강남구 ,강남구,111261,0.006,0.4,0.024,0.042,66,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-04 22,서울 강남구 ,강남구,111261,0.005,0.4,0.031,0.036,73,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-04 23,서울 강남구 ,강남구,111261,0.005,0.5,0.018,0.045,66,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-04 24,서울 강남구 ,강남구,111261,0.005,0.5,0.005,0.059,66,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-05 01,서울 강남구 ,강남구,111261,0.005,0.6,0.002,0.063,69,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-05 02,서울 강남구 ,강남구,111261,0.006,0.5,0.002,0.059,65,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-05 03,서울 강남구 ,강남구,111261,0.006,0.5,0.001,0.054,66,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-05 04,서울 강남구 ,강남구,111261,0.005,0.5,0.002,0.05,64,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-05 05,서울 강남구 ,강남구,111261,0.005,0.5,0.003,0.04,68,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-05 06,서울 강남구 ,강남구,111261,0.005,0.5,0.006,0.034,70,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
